sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-AR-A24N-01	TCGA-AR-A24N-01	7.654	Primary Tumor	TCGA	Breast
TCGA-E2-A15D-01	TCGA-E2-A15D-01	7.654	Primary Tumor	TCGA	Breast
TCGA-E2-A15P-01	TCGA-E2-A15P-01	7.648	Primary Tumor	TCGA	Breast
TCGA-BH-A0BM-01	TCGA-BH-A0BM-01	7.647	Primary Tumor	TCGA	Breast
TCGA-C8-A12Y-01	TCGA-C8-A12Y-01	7.64	Primary Tumor	TCGA	Breast
TCGA-PL-A8LX-01	TCGA-PL-A8LX-01	7.639	Primary Tumor	TCGA	Breast
TCGA-AR-A0TX-01	TCGA-AR-A0TX-01	7.636	Primary Tumor	TCGA	Breast
TCGA-AC-A5XU-01	TCGA-AC-A5XU-01	7.634	Primary Tumor	TCGA	Breast
TCGA-E2-A1LH-01	TCGA-E2-A1LH-01	7.63	Primary Tumor	TCGA	Breast
TCGA-BH-A209-01	TCGA-BH-A209-01	7.629	Primary Tumor	TCGA	Breast
TCGA-B6-A402-01	TCGA-B6-A402-01	7.628	Primary Tumor	TCGA	Breast
TCGA-GM-A3XL-01	TCGA-GM-A3XL-01	7.628	Primary Tumor	TCGA	Breast
TCGA-OL-A5DA-01	TCGA-OL-A5DA-01	7.628	Primary Tumor	TCGA	Breast
TCGA-A2-A0CT-01	TCGA-A2-A0CT-01	7.626	Primary Tumor	TCGA	Breast
TCGA-LL-A50Y-01	TCGA-LL-A50Y-01	7.625	Primary Tumor	TCGA	Breast
TCGA-BH-A0GZ-01	TCGA-BH-A0GZ-01	7.62	Primary Tumor	TCGA	Breast
TCGA-D8-A140-01	TCGA-D8-A140-01	7.62	Primary Tumor	TCGA	Breast
TCGA-LD-A7W6-01	TCGA-LD-A7W6-01	7.615	Primary Tumor	TCGA	Breast
TCGA-BH-A0C7-01	TCGA-BH-A0C7-01	7.613	Primary Tumor	TCGA	Breast
TCGA-BH-A18S-01	TCGA-BH-A18S-01	7.61	Primary Tumor	TCGA	Breast
TCGA-A7-A3IZ-01	TCGA-A7-A3IZ-01	7.607	Primary Tumor	TCGA	Breast
TCGA-EW-A2FS-01	TCGA-EW-A2FS-01	7.607	Primary Tumor	TCGA	Breast
TCGA-B6-A0RO-01	TCGA-B6-A0RO-01	7.604	Primary Tumor	TCGA	Breast
TCGA-E9-A3X8-01	TCGA-E9-A3X8-01	7.604	Primary Tumor	TCGA	Breast
TCGA-E2-A10B-01	TCGA-E2-A10B-01	7.596	Primary Tumor	TCGA	Breast
TCGA-E2-A1L7-01	TCGA-E2-A1L7-01	7.595	Primary Tumor	TCGA	Breast
TCGA-B6-A0RE-01	TCGA-B6-A0RE-01	7.593	Primary Tumor	TCGA	Breast
TCGA-A7-A4SD-01	TCGA-A7-A4SD-01	7.591	Primary Tumor	TCGA	Breast
TCGA-A8-A08A-01	TCGA-A8-A08A-01	7.589	Primary Tumor	TCGA	Breast
TCGA-LL-A6FQ-01	TCGA-LL-A6FQ-01	7.589	Primary Tumor	TCGA	Breast
TCGA-OL-A5D8-01	TCGA-OL-A5D8-01	7.588	Primary Tumor	TCGA	Breast
TCGA-A8-A07O-01	TCGA-A8-A07O-01	7.585	Primary Tumor	TCGA	Breast
TCGA-D8-A27F-01	TCGA-D8-A27F-01	7.585	Primary Tumor	TCGA	Breast
TCGA-E9-A1RD-01	TCGA-E9-A1RD-01	7.584	Primary Tumor	TCGA	Breast
TCGA-A8-A08L-01	TCGA-A8-A08L-01	7.583	Primary Tumor	TCGA	Breast
TCGA-AN-A0XV-01	TCGA-AN-A0XV-01	7.581	Primary Tumor	TCGA	Breast
TCGA-EW-A1IZ-01	TCGA-EW-A1IZ-01	7.581	Primary Tumor	TCGA	Breast
TCGA-C8-A3M7-01	TCGA-C8-A3M7-01	7.579	Primary Tumor	TCGA	Breast
TCGA-B6-A0IE-01	TCGA-B6-A0IE-01	7.578	Primary Tumor	TCGA	Breast
TCGA-A8-A09B-01	TCGA-A8-A09B-01	7.574	Primary Tumor	TCGA	Breast
TCGA-E9-A244-01	TCGA-E9-A244-01	7.562	Primary Tumor	TCGA	Breast
TCGA-BH-A0BW-01	TCGA-BH-A0BW-01	7.557	Primary Tumor	TCGA	Breast
TCGA-A8-A095-01	TCGA-A8-A095-01	7.549	Primary Tumor	TCGA	Breast
TCGA-BH-A8FY-01	TCGA-BH-A8FY-01	7.549	Primary Tumor	TCGA	Breast
TCGA-AN-A0XL-01	TCGA-AN-A0XL-01	7.548	Primary Tumor	TCGA	Breast
TCGA-B6-A1KC-01	TCGA-B6-A1KC-01	7.548	Primary Tumor	TCGA	Breast
TCGA-A2-A0YG-01	TCGA-A2-A0YG-01	7.545	Primary Tumor	TCGA	Breast
TCGA-AO-A03P-01	TCGA-AO-A03P-01	7.54	Primary Tumor	TCGA	Breast
TCGA-A8-A06U-01	TCGA-A8-A06U-01	7.534	Primary Tumor	TCGA	Breast
GTEX-132Q8-1426-SM-5EGK7	GTEX-132Q8-1426-SM-5EGK7	7.533	Normal Tissue	GTEX	Breast
TCGA-E2-A576-01	TCGA-E2-A576-01	7.526	Primary Tumor	TCGA	Breast
TCGA-A8-A085-01	TCGA-A8-A085-01	7.525	Primary Tumor	TCGA	Breast
TCGA-AC-A6IW-01	TCGA-AC-A6IW-01	7.524	Primary Tumor	TCGA	Breast
TCGA-LL-A7T0-01	TCGA-LL-A7T0-01	7.523	Primary Tumor	TCGA	Breast
TCGA-E9-A1R6-01	TCGA-E9-A1R6-01	7.522	Primary Tumor	TCGA	Breast
TCGA-AQ-A54O-01	TCGA-AQ-A54O-01	7.517	Primary Tumor	TCGA	Breast
TCGA-BH-A0BG-01	TCGA-BH-A0BG-01	7.517	Primary Tumor	TCGA	Breast
TCGA-BH-A0DH-01	TCGA-BH-A0DH-01	7.516	Primary Tumor	TCGA	Breast
TCGA-A8-A06Y-01	TCGA-A8-A06Y-01	7.51	Primary Tumor	TCGA	Breast
TCGA-A2-A4S3-01	TCGA-A2-A4S3-01	7.507	Primary Tumor	TCGA	Breast
TCGA-A8-A093-01	TCGA-A8-A093-01	7.504	Primary Tumor	TCGA	Breast
TCGA-A7-A4SB-01	TCGA-A7-A4SB-01	7.503	Primary Tumor	TCGA	Breast
TCGA-AC-A2BM-01	TCGA-AC-A2BM-01	7.502	Primary Tumor	TCGA	Breast
TCGA-AN-A0XP-01	TCGA-AN-A0XP-01	7.502	Primary Tumor	TCGA	Breast
TCGA-B6-A0I9-01	TCGA-B6-A0I9-01	7.5	Primary Tumor	TCGA	Breast
TCGA-EW-A1OY-01	TCGA-EW-A1OY-01	7.499	Primary Tumor	TCGA	Breast
TCGA-A2-A3XW-01	TCGA-A2-A3XW-01	7.496	Primary Tumor	TCGA	Breast
TCGA-B6-A0RH-01	TCGA-B6-A0RH-01	7.493	Primary Tumor	TCGA	Breast
TCGA-E2-A1IL-01	TCGA-E2-A1IL-01	7.492	Primary Tumor	TCGA	Breast
TCGA-E2-A15K-01	TCGA-E2-A15K-01	7.491	Primary Tumor	TCGA	Breast
TCGA-AR-A0U2-01	TCGA-AR-A0U2-01	7.49	Primary Tumor	TCGA	Breast
TCGA-A8-A09T-01	TCGA-A8-A09T-01	7.489	Primary Tumor	TCGA	Breast
TCGA-A8-A0AB-01	TCGA-A8-A0AB-01	7.488	Primary Tumor	TCGA	Breast
TCGA-E2-A107-01	TCGA-E2-A107-01	7.486	Primary Tumor	TCGA	Breast
TCGA-A2-A1G4-01	TCGA-A2-A1G4-01	7.484	Primary Tumor	TCGA	Breast
TCGA-E2-A154-01	TCGA-E2-A154-01	7.484	Primary Tumor	TCGA	Breast
TCGA-BH-A1EN-01	TCGA-BH-A1EN-01	7.481	Primary Tumor	TCGA	Breast
TCGA-E2-A15J-01	TCGA-E2-A15J-01	7.475	Primary Tumor	TCGA	Breast
TCGA-E2-A1IU-01	TCGA-E2-A1IU-01	7.475	Primary Tumor	TCGA	Breast
TCGA-LL-A441-01	TCGA-LL-A441-01	7.471	Primary Tumor	TCGA	Breast
TCGA-AO-A126-01	TCGA-AO-A126-01	7.464	Primary Tumor	TCGA	Breast
TCGA-A2-A3KD-01	TCGA-A2-A3KD-01	7.463	Primary Tumor	TCGA	Breast
TCGA-E2-A15C-01	TCGA-E2-A15C-01	7.463	Primary Tumor	TCGA	Breast
TCGA-AO-A03R-01	TCGA-AO-A03R-01	7.451	Primary Tumor	TCGA	Breast
TCGA-E2-A1BD-01	TCGA-E2-A1BD-01	7.449	Primary Tumor	TCGA	Breast
TCGA-AR-A0TQ-01	TCGA-AR-A0TQ-01	7.448	Primary Tumor	TCGA	Breast
TCGA-A7-A0CH-01	TCGA-A7-A0CH-01	7.446	Primary Tumor	TCGA	Breast
TCGA-C8-A12Z-01	TCGA-C8-A12Z-01	7.444	Primary Tumor	TCGA	Breast
TCGA-BH-A18R-01	TCGA-BH-A18R-01	7.438	Primary Tumor	TCGA	Breast
TCGA-E9-A2JT-01	TCGA-E9-A2JT-01	7.438	Primary Tumor	TCGA	Breast
TCGA-WT-AB44-01	TCGA-WT-AB44-01	7.436	Primary Tumor	TCGA	Breast
TCGA-C8-A12X-01	TCGA-C8-A12X-01	7.435	Primary Tumor	TCGA	Breast
TCGA-BH-A0BS-01	TCGA-BH-A0BS-01	7.434	Primary Tumor	TCGA	Breast
TCGA-C8-A137-01	TCGA-C8-A137-01	7.432	Primary Tumor	TCGA	Breast
TCGA-D8-A1X7-01	TCGA-D8-A1X7-01	7.432	Primary Tumor	TCGA	Breast
TCGA-BH-A0C0-01	TCGA-BH-A0C0-01	7.426	Primary Tumor	TCGA	Breast
TCGA-AR-A2LE-01	TCGA-AR-A2LE-01	7.424	Primary Tumor	TCGA	Breast
TCGA-E2-A2P5-01	TCGA-E2-A2P5-01	7.423	Primary Tumor	TCGA	Breast
TCGA-AO-A12H-01	TCGA-AO-A12H-01	7.422	Primary Tumor	TCGA	Breast
TCGA-AQ-A1H2-01	TCGA-AQ-A1H2-01	7.419	Primary Tumor	TCGA	Breast
TCGA-3C-AALJ-01	TCGA-3C-AALJ-01	7.417	Primary Tumor	TCGA	Breast
TCGA-EW-A1P0-01	TCGA-EW-A1P0-01	7.416	Primary Tumor	TCGA	Breast
TCGA-A8-A09C-01	TCGA-A8-A09C-01	7.415	Primary Tumor	TCGA	Breast
TCGA-GM-A3NY-01	TCGA-GM-A3NY-01	7.415	Primary Tumor	TCGA	Breast
TCGA-EW-A1J1-01	TCGA-EW-A1J1-01	7.414	Primary Tumor	TCGA	Breast
TCGA-D8-A3Z5-01	TCGA-D8-A3Z5-01	7.413	Primary Tumor	TCGA	Breast
TCGA-EW-A1P3-01	TCGA-EW-A1P3-01	7.413	Primary Tumor	TCGA	Breast
TCGA-E2-A109-01	TCGA-E2-A109-01	7.398	Primary Tumor	TCGA	Breast
TCGA-E2-A14Q-01	TCGA-E2-A14Q-01	7.395	Primary Tumor	TCGA	Breast
TCGA-E2-A1BC-01	TCGA-E2-A1BC-01	7.386	Primary Tumor	TCGA	Breast
TCGA-E9-A3Q9-01	TCGA-E9-A3Q9-01	7.381	Primary Tumor	TCGA	Breast
TCGA-B6-A0I8-01	TCGA-B6-A0I8-01	7.379	Primary Tumor	TCGA	Breast
TCGA-A2-A04X-01	TCGA-A2-A04X-01	7.367	Primary Tumor	TCGA	Breast
TCGA-A1-A0SQ-01	TCGA-A1-A0SQ-01	7.364	Primary Tumor	TCGA	Breast
TCGA-A2-A0D2-01	TCGA-A2-A0D2-01	7.364	Primary Tumor	TCGA	Breast
TCGA-AC-A6IX-06	TCGA-AC-A6IX-06	7.363	Metastatic	TCGA	Breast
TCGA-E9-A1R7-01	TCGA-E9-A1R7-01	7.351	Primary Tumor	TCGA	Breast
TCGA-EW-A6SB-01	TCGA-EW-A6SB-01	7.35	Primary Tumor	TCGA	Breast
TCGA-AO-A03N-01	TCGA-AO-A03N-01	7.348	Primary Tumor	TCGA	Breast
TCGA-BH-A0B8-01	TCGA-BH-A0B8-01	7.348	Primary Tumor	TCGA	Breast
TCGA-AR-A0TV-01	TCGA-AR-A0TV-01	7.347	Primary Tumor	TCGA	Breast
TCGA-OL-A5RU-01	TCGA-OL-A5RU-01	7.346	Primary Tumor	TCGA	Breast
TCGA-E9-A249-01	TCGA-E9-A249-01	7.345	Primary Tumor	TCGA	Breast
TCGA-S3-AA11-01	TCGA-S3-AA11-01	7.341	Primary Tumor	TCGA	Breast
TCGA-GM-A2DO-01	TCGA-GM-A2DO-01	7.34	Primary Tumor	TCGA	Breast
TCGA-E9-A5UP-01	TCGA-E9-A5UP-01	7.338	Primary Tumor	TCGA	Breast
TCGA-AO-A0JB-01	TCGA-AO-A0JB-01	7.336	Primary Tumor	TCGA	Breast
TCGA-LL-A5YN-01	TCGA-LL-A5YN-01	7.336	Primary Tumor	TCGA	Breast
TCGA-BH-A18T-01	TCGA-BH-A18T-01	7.334	Primary Tumor	TCGA	Breast
TCGA-AN-A0AL-01	TCGA-AN-A0AL-01	7.329	Primary Tumor	TCGA	Breast
TCGA-E2-A15A-06	TCGA-E2-A15A-06	7.327	Metastatic	TCGA	Breast
TCGA-AC-A8OR-01	TCGA-AC-A8OR-01	7.327	Primary Tumor	TCGA	Breast
TCGA-GM-A2DB-01	TCGA-GM-A2DB-01	7.325	Primary Tumor	TCGA	Breast
TCGA-BH-A0HK-01	TCGA-BH-A0HK-01	7.324	Primary Tumor	TCGA	Breast
TCGA-C8-A274-01	TCGA-C8-A274-01	7.324	Primary Tumor	TCGA	Breast
TCGA-PE-A5DC-01	TCGA-PE-A5DC-01	7.319	Primary Tumor	TCGA	Breast
TCGA-A8-A08C-01	TCGA-A8-A08C-01	7.317	Primary Tumor	TCGA	Breast
TCGA-E9-A22G-01	TCGA-E9-A22G-01	7.311	Primary Tumor	TCGA	Breast
TCGA-PL-A8LV-01	TCGA-PL-A8LV-01	7.311	Primary Tumor	TCGA	Breast
TCGA-E2-A15E-06	TCGA-E2-A15E-06	7.309	Metastatic	TCGA	Breast
TCGA-E9-A22H-01	TCGA-E9-A22H-01	7.306	Primary Tumor	TCGA	Breast
TCGA-EW-A1P6-01	TCGA-EW-A1P6-01	7.302	Primary Tumor	TCGA	Breast
GTEX-XGQ4-0926-SM-4AT4U	GTEX-XGQ4-0926-SM-4AT4U	7.301	Normal Tissue	GTEX	Breast
TCGA-B6-A0IP-01	TCGA-B6-A0IP-01	7.301	Primary Tumor	TCGA	Breast
TCGA-EW-A2FW-01	TCGA-EW-A2FW-01	7.299	Primary Tumor	TCGA	Breast
TCGA-A8-A09V-01	TCGA-A8-A09V-01	7.297	Primary Tumor	TCGA	Breast
TCGA-BH-A18G-01	TCGA-BH-A18G-01	7.291	Primary Tumor	TCGA	Breast
TCGA-B6-A2IU-01	TCGA-B6-A2IU-01	7.289	Primary Tumor	TCGA	Breast
TCGA-A2-A0CL-01	TCGA-A2-A0CL-01	7.288	Primary Tumor	TCGA	Breast
TCGA-GM-A2DH-01	TCGA-GM-A2DH-01	7.285	Primary Tumor	TCGA	Breast
TCGA-AR-A0U3-01	TCGA-AR-A0U3-01	7.283	Primary Tumor	TCGA	Breast
TCGA-E2-A56Z-01	TCGA-E2-A56Z-01	7.28	Primary Tumor	TCGA	Breast
TCGA-E9-A1N3-01	TCGA-E9-A1N3-01	7.278	Primary Tumor	TCGA	Breast
TCGA-E2-A105-01	TCGA-E2-A105-01	7.275	Primary Tumor	TCGA	Breast
TCGA-E2-A15G-01	TCGA-E2-A15G-01	7.265	Primary Tumor	TCGA	Breast
TCGA-B6-A0RM-01	TCGA-B6-A0RM-01	7.263	Primary Tumor	TCGA	Breast
TCGA-OL-A5RW-01	TCGA-OL-A5RW-01	7.259	Primary Tumor	TCGA	Breast
TCGA-BH-A1F8-01	TCGA-BH-A1F8-01	7.253	Primary Tumor	TCGA	Breast
TCGA-AO-A03T-01	TCGA-AO-A03T-01	7.252	Primary Tumor	TCGA	Breast
TCGA-PL-A8LZ-01	TCGA-PL-A8LZ-01	7.249	Primary Tumor	TCGA	Breast
GTEX-XUZC-1626-SM-4BRVP	GTEX-XUZC-1626-SM-4BRVP	7.246	Normal Tissue	GTEX	Breast
TCGA-A2-A1FW-01	TCGA-A2-A1FW-01	7.245	Primary Tumor	TCGA	Breast
TCGA-AO-A03V-01	TCGA-AO-A03V-01	7.243	Primary Tumor	TCGA	Breast
TCGA-A2-A0EQ-01	TCGA-A2-A0EQ-01	7.241	Primary Tumor	TCGA	Breast
TCGA-B6-A0IG-01	TCGA-B6-A0IG-01	7.241	Primary Tumor	TCGA	Breast
TCGA-BH-A1FL-01	TCGA-BH-A1FL-01	7.237	Primary Tumor	TCGA	Breast
TCGA-AC-A2FM-01	TCGA-AC-A2FM-01	7.234	Primary Tumor	TCGA	Breast
TCGA-E2-A1B6-01	TCGA-E2-A1B6-01	7.234	Primary Tumor	TCGA	Breast
TCGA-BH-A0HY-01	TCGA-BH-A0HY-01	7.233	Primary Tumor	TCGA	Breast
TCGA-AC-A6NO-01	TCGA-AC-A6NO-01	7.228	Primary Tumor	TCGA	Breast
TCGA-E2-A14P-01	TCGA-E2-A14P-01	7.223	Primary Tumor	TCGA	Breast
TCGA-AO-A1KQ-01	TCGA-AO-A1KQ-01	7.218	Primary Tumor	TCGA	Breast
TCGA-V7-A7HQ-01	TCGA-V7-A7HQ-01	7.217	Primary Tumor	TCGA	Breast
TCGA-A8-A07B-01	TCGA-A8-A07B-01	7.215	Primary Tumor	TCGA	Breast
TCGA-D8-A1X6-01	TCGA-D8-A1X6-01	7.211	Primary Tumor	TCGA	Breast
TCGA-OL-A5D7-01	TCGA-OL-A5D7-01	7.203	Primary Tumor	TCGA	Breast
TCGA-AO-A03O-01	TCGA-AO-A03O-01	7.199	Primary Tumor	TCGA	Breast
TCGA-A8-A07R-01	TCGA-A8-A07R-01	7.195	Primary Tumor	TCGA	Breast
TCGA-BH-A18H-01	TCGA-BH-A18H-01	7.194	Primary Tumor	TCGA	Breast
TCGA-UL-AAZ6-01	TCGA-UL-AAZ6-01	7.194	Primary Tumor	TCGA	Breast
TCGA-C8-A1HO-01	TCGA-C8-A1HO-01	7.193	Primary Tumor	TCGA	Breast
TCGA-BH-A0E7-01	TCGA-BH-A0E7-01	7.191	Primary Tumor	TCGA	Breast
TCGA-B6-A0IM-01	TCGA-B6-A0IM-01	7.184	Primary Tumor	TCGA	Breast
TCGA-E9-A1RE-01	TCGA-E9-A1RE-01	7.176	Primary Tumor	TCGA	Breast
TCGA-OL-A66O-01	TCGA-OL-A66O-01	7.176	Primary Tumor	TCGA	Breast
TCGA-A2-A0CU-01	TCGA-A2-A0CU-01	7.174	Primary Tumor	TCGA	Breast
TCGA-AR-A0TZ-01	TCGA-AR-A0TZ-01	7.172	Primary Tumor	TCGA	Breast
TCGA-E2-A14O-01	TCGA-E2-A14O-01	7.171	Primary Tumor	TCGA	Breast
TCGA-AR-A0TY-01	TCGA-AR-A0TY-01	7.169	Primary Tumor	TCGA	Breast
TCGA-C8-A12L-01	TCGA-C8-A12L-01	7.169	Primary Tumor	TCGA	Breast
TCGA-C8-A27A-01	TCGA-C8-A27A-01	7.169	Primary Tumor	TCGA	Breast
TCGA-A2-A0CS-01	TCGA-A2-A0CS-01	7.161	Primary Tumor	TCGA	Breast
TCGA-GM-A2DC-01	TCGA-GM-A2DC-01	7.16	Primary Tumor	TCGA	Breast
TCGA-A8-A06X-01	TCGA-A8-A06X-01	7.158	Primary Tumor	TCGA	Breast
TCGA-BH-A0H9-01	TCGA-BH-A0H9-01	7.157	Primary Tumor	TCGA	Breast
TCGA-AO-A0J7-01	TCGA-AO-A0J7-01	7.154	Primary Tumor	TCGA	Breast
TCGA-E9-A295-01	TCGA-E9-A295-01	7.153	Primary Tumor	TCGA	Breast
TCGA-A2-A0ER-01	TCGA-A2-A0ER-01	7.135	Primary Tumor	TCGA	Breast
TCGA-3C-AALI-01	TCGA-3C-AALI-01	7.129	Primary Tumor	TCGA	Breast
TCGA-E2-A14V-01	TCGA-E2-A14V-01	7.129	Primary Tumor	TCGA	Breast
TCGA-AQ-A04H-01	TCGA-AQ-A04H-01	7.125	Primary Tumor	TCGA	Breast
TCGA-OL-A6VR-01	TCGA-OL-A6VR-01	7.125	Primary Tumor	TCGA	Breast
TCGA-A2-A3XV-01	TCGA-A2-A3XV-01	7.124	Primary Tumor	TCGA	Breast
TCGA-BH-A1FG-01	TCGA-BH-A1FG-01	7.124	Primary Tumor	TCGA	Breast
TCGA-AO-A03M-01	TCGA-AO-A03M-01	7.119	Primary Tumor	TCGA	Breast
TCGA-BH-A1FJ-01	TCGA-BH-A1FJ-01	7.119	Primary Tumor	TCGA	Breast
TCGA-D8-A27E-01	TCGA-D8-A27E-01	7.119	Primary Tumor	TCGA	Breast
GTEX-U412-1826-SM-4DXTJ	GTEX-U412-1826-SM-4DXTJ	7.118	Normal Tissue	GTEX	Breast
TCGA-E2-A1LK-01	TCGA-E2-A1LK-01	7.115	Primary Tumor	TCGA	Breast
TCGA-B6-A409-01	TCGA-B6-A409-01	7.11	Primary Tumor	TCGA	Breast
TCGA-A8-A07U-01	TCGA-A8-A07U-01	7.094	Primary Tumor	TCGA	Breast
GTEX-145ME-1526-SM-5Q5F2	GTEX-145ME-1526-SM-5Q5F2	7.092	Normal Tissue	GTEX	Breast
TCGA-A8-A09G-01	TCGA-A8-A09G-01	7.092	Primary Tumor	TCGA	Breast
TCGA-AO-A0JD-01	TCGA-AO-A0JD-01	7.091	Primary Tumor	TCGA	Breast
TCGA-C8-A26V-01	TCGA-C8-A26V-01	7.084	Primary Tumor	TCGA	Breast
TCGA-A2-A25E-01	TCGA-A2-A25E-01	7.078	Primary Tumor	TCGA	Breast
TCGA-AC-A3TN-01	TCGA-AC-A3TN-01	7.077	Primary Tumor	TCGA	Breast
TCGA-E2-A1IE-01	TCGA-E2-A1IE-01	7.075	Primary Tumor	TCGA	Breast
TCGA-B6-A0RG-01	TCGA-B6-A0RG-01	7.073	Primary Tumor	TCGA	Breast
TCGA-AN-A0FJ-01	TCGA-AN-A0FJ-01	7.072	Primary Tumor	TCGA	Breast
TCGA-AN-A0FK-01	TCGA-AN-A0FK-01	7.067	Primary Tumor	TCGA	Breast
TCGA-LL-A5YM-01	TCGA-LL-A5YM-01	7.063	Primary Tumor	TCGA	Breast
TCGA-B6-A0X7-01	TCGA-B6-A0X7-01	7.057	Primary Tumor	TCGA	Breast
TCGA-D8-A27V-01	TCGA-D8-A27V-01	7.056	Primary Tumor	TCGA	Breast
TCGA-A2-A0EU-01	TCGA-A2-A0EU-01	7.05	Primary Tumor	TCGA	Breast
TCGA-AR-A24Z-01	TCGA-AR-A24Z-01	7.05	Primary Tumor	TCGA	Breast
TCGA-E2-A10C-01	TCGA-E2-A10C-01	7.05	Primary Tumor	TCGA	Breast
TCGA-BH-A0HN-01	TCGA-BH-A0HN-01	7.043	Primary Tumor	TCGA	Breast
TCGA-BH-A6R8-01	TCGA-BH-A6R8-01	7.043	Primary Tumor	TCGA	Breast
TCGA-E2-A106-01	TCGA-E2-A106-01	7.027	Primary Tumor	TCGA	Breast
TCGA-A2-A04R-01	TCGA-A2-A04R-01	7.015	Primary Tumor	TCGA	Breast
TCGA-A7-A0CD-01	TCGA-A7-A0CD-01	7.008	Primary Tumor	TCGA	Breast
TCGA-BH-A0B6-01	TCGA-BH-A0B6-01	7.008	Primary Tumor	TCGA	Breast
TCGA-E2-A15O-01	TCGA-E2-A15O-01	7.005	Primary Tumor	TCGA	Breast
TCGA-A2-A0YT-01	TCGA-A2-A0YT-01	7.002	Primary Tumor	TCGA	Breast
TCGA-B6-A0IO-01	TCGA-B6-A0IO-01	6.999	Primary Tumor	TCGA	Breast
TCGA-E2-A15R-01	TCGA-E2-A15R-01	6.995	Primary Tumor	TCGA	Breast
TCGA-AR-A0TW-01	TCGA-AR-A0TW-01	6.992	Primary Tumor	TCGA	Breast
TCGA-AR-A24K-01	TCGA-AR-A24K-01	6.989	Primary Tumor	TCGA	Breast
TCGA-B6-A0RV-01	TCGA-B6-A0RV-01	6.983	Primary Tumor	TCGA	Breast
GTEX-11P82-1326-SM-5HL62	GTEX-11P82-1326-SM-5HL62	6.981	Normal Tissue	GTEX	Breast
TCGA-A8-A08S-01	TCGA-A8-A08S-01	6.969	Primary Tumor	TCGA	Breast
TCGA-AR-A24X-01	TCGA-AR-A24X-01	6.958	Primary Tumor	TCGA	Breast
TCGA-D8-A1XV-01	TCGA-D8-A1XV-01	6.953	Primary Tumor	TCGA	Breast
TCGA-D8-A1JI-01	TCGA-D8-A1JI-01	6.952	Primary Tumor	TCGA	Breast
TCGA-BH-A0DD-01	TCGA-BH-A0DD-01	6.948	Primary Tumor	TCGA	Breast
TCGA-C8-A1HK-01	TCGA-C8-A1HK-01	6.947	Primary Tumor	TCGA	Breast
TCGA-AN-A0AK-01	TCGA-AN-A0AK-01	6.944	Primary Tumor	TCGA	Breast
TCGA-A2-A0D4-01	TCGA-A2-A0D4-01	6.939	Primary Tumor	TCGA	Breast
TCGA-B6-A0X0-01	TCGA-B6-A0X0-01	6.936	Primary Tumor	TCGA	Breast
TCGA-BH-A1ES-06	TCGA-BH-A1ES-06	6.935	Metastatic	TCGA	Breast
TCGA-A2-A0CY-01	TCGA-A2-A0CY-01	6.922	Primary Tumor	TCGA	Breast
TCGA-A8-A06T-01	TCGA-A8-A06T-01	6.921	Primary Tumor	TCGA	Breast
TCGA-A7-A0CJ-01	TCGA-A7-A0CJ-01	6.915	Primary Tumor	TCGA	Breast
TCGA-AN-A0XR-01	TCGA-AN-A0XR-01	6.91	Primary Tumor	TCGA	Breast
TCGA-B6-A0RN-01	TCGA-B6-A0RN-01	6.909	Primary Tumor	TCGA	Breast
TCGA-OL-A5RZ-01	TCGA-OL-A5RZ-01	6.909	Primary Tumor	TCGA	Breast
TCGA-AO-A0J6-01	TCGA-AO-A0J6-01	6.904	Primary Tumor	TCGA	Breast
TCGA-A8-A081-01	TCGA-A8-A081-01	6.899	Primary Tumor	TCGA	Breast
TCGA-A8-A09Z-01	TCGA-A8-A09Z-01	6.896	Primary Tumor	TCGA	Breast
TCGA-A8-A07Z-01	TCGA-A8-A07Z-01	6.895	Primary Tumor	TCGA	Breast
TCGA-EW-A1PC-01	TCGA-EW-A1PC-01	6.875	Primary Tumor	TCGA	Breast
TCGA-B6-A0IK-01	TCGA-B6-A0IK-01	6.85	Primary Tumor	TCGA	Breast
TCGA-A2-A3XU-01	TCGA-A2-A3XU-01	6.849	Primary Tumor	TCGA	Breast
TCGA-A8-A09N-01	TCGA-A8-A09N-01	6.846	Primary Tumor	TCGA	Breast
TCGA-BH-A0HU-01	TCGA-BH-A0HU-01	6.843	Primary Tumor	TCGA	Breast
TCGA-AR-A0TU-01	TCGA-AR-A0TU-01	6.826	Primary Tumor	TCGA	Breast
TCGA-A7-A3J0-01	TCGA-A7-A3J0-01	6.819	Primary Tumor	TCGA	Breast
TCGA-AO-A128-01	TCGA-AO-A128-01	6.815	Primary Tumor	TCGA	Breast
TCGA-A7-A4SF-01	TCGA-A7-A4SF-01	6.798	Primary Tumor	TCGA	Breast
TCGA-AR-A0U0-01	TCGA-AR-A0U0-01	6.783	Primary Tumor	TCGA	Breast
TCGA-A8-A099-01	TCGA-A8-A099-01	6.772	Primary Tumor	TCGA	Breast
TCGA-A2-A0D3-01	TCGA-A2-A0D3-01	6.768	Primary Tumor	TCGA	Breast
TCGA-A8-A09K-01	TCGA-A8-A09K-01	6.768	Primary Tumor	TCGA	Breast
TCGA-B6-A0X5-01	TCGA-B6-A0X5-01	6.767	Primary Tumor	TCGA	Breast
TCGA-B6-A0WW-01	TCGA-B6-A0WW-01	6.765	Primary Tumor	TCGA	Breast
