sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-OL-A66I-01	TCGA-OL-A66I-01	7.95	Primary Tumor	TCGA	Breast
TCGA-AO-A0JM-01	TCGA-AO-A0JM-01	7.944	Primary Tumor	TCGA	Breast
TCGA-BH-A0BQ-01	TCGA-BH-A0BQ-01	7.941	Primary Tumor	TCGA	Breast
TCGA-E2-A1B5-01	TCGA-E2-A1B5-01	7.939	Primary Tumor	TCGA	Breast
TCGA-AN-A0G0-01	TCGA-AN-A0G0-01	7.938	Primary Tumor	TCGA	Breast
TCGA-A2-A04V-01	TCGA-A2-A04V-01	7.937	Primary Tumor	TCGA	Breast
TCGA-E2-A15I-01	TCGA-E2-A15I-01	7.936	Primary Tumor	TCGA	Breast
TCGA-A2-A4RW-01	TCGA-A2-A4RW-01	7.933	Primary Tumor	TCGA	Breast
TCGA-AR-A256-01	TCGA-AR-A256-01	7.933	Primary Tumor	TCGA	Breast
TCGA-BH-A0C1-01	TCGA-BH-A0C1-01	7.932	Primary Tumor	TCGA	Breast
TCGA-AO-A0JC-01	TCGA-AO-A0JC-01	7.931	Primary Tumor	TCGA	Breast
TCGA-E9-A3QA-01	TCGA-E9-A3QA-01	7.929	Primary Tumor	TCGA	Breast
TCGA-BH-A0E6-01	TCGA-BH-A0E6-01	7.928	Primary Tumor	TCGA	Breast
TCGA-E9-A1RA-01	TCGA-E9-A1RA-01	7.926	Primary Tumor	TCGA	Breast
TCGA-BH-A203-01	TCGA-BH-A203-01	7.924	Primary Tumor	TCGA	Breast
TCGA-EW-A1IX-01	TCGA-EW-A1IX-01	7.922	Primary Tumor	TCGA	Breast
GTEX-11TT1-2126-SM-5GU5Y	GTEX-11TT1-2126-SM-5GU5Y	7.921	Normal Tissue	GTEX	Breast
TCGA-OL-A5RY-01	TCGA-OL-A5RY-01	7.921	Primary Tumor	TCGA	Breast
GTEX-13CF3-2126-SM-5IFJP	GTEX-13CF3-2126-SM-5IFJP	7.92	Normal Tissue	GTEX	Breast
TCGA-A8-A09M-01	TCGA-A8-A09M-01	7.92	Primary Tumor	TCGA	Breast
TCGA-BH-A0DO-01	TCGA-BH-A0DO-01	7.92	Primary Tumor	TCGA	Breast
TCGA-A1-A0SJ-01	TCGA-A1-A0SJ-01	7.918	Primary Tumor	TCGA	Breast
TCGA-A2-A0T0-01	TCGA-A2-A0T0-01	7.91	Primary Tumor	TCGA	Breast
TCGA-A2-A0EX-01	TCGA-A2-A0EX-01	7.908	Primary Tumor	TCGA	Breast
TCGA-EW-A1J6-01	TCGA-EW-A1J6-01	7.907	Primary Tumor	TCGA	Breast
TCGA-E2-A14R-01	TCGA-E2-A14R-01	7.906	Primary Tumor	TCGA	Breast
TCGA-C8-A26Z-01	TCGA-C8-A26Z-01	7.902	Primary Tumor	TCGA	Breast
TCGA-EW-A424-01	TCGA-EW-A424-01	7.901	Primary Tumor	TCGA	Breast
TCGA-A8-A09W-01	TCGA-A8-A09W-01	7.9	Primary Tumor	TCGA	Breast
TCGA-AO-A03L-01	TCGA-AO-A03L-01	7.9	Primary Tumor	TCGA	Breast
TCGA-C8-A1HE-01	TCGA-C8-A1HE-01	7.9	Primary Tumor	TCGA	Breast
TCGA-AO-A12F-01	TCGA-AO-A12F-01	7.896	Primary Tumor	TCGA	Breast
TCGA-E2-A1LB-01	TCGA-E2-A1LB-01	7.896	Primary Tumor	TCGA	Breast
TCGA-A8-A07S-01	TCGA-A8-A07S-01	7.895	Primary Tumor	TCGA	Breast
TCGA-AN-A0FD-01	TCGA-AN-A0FD-01	7.893	Primary Tumor	TCGA	Breast
TCGA-AR-A1AY-01	TCGA-AR-A1AY-01	7.892	Primary Tumor	TCGA	Breast
TCGA-A2-A25D-01	TCGA-A2-A25D-01	7.888	Primary Tumor	TCGA	Breast
TCGA-A2-A4S2-01	TCGA-A2-A4S2-01	7.885	Primary Tumor	TCGA	Breast
TCGA-A8-A08O-01	TCGA-A8-A08O-01	7.881	Primary Tumor	TCGA	Breast
TCGA-C8-A130-01	TCGA-C8-A130-01	7.876	Primary Tumor	TCGA	Breast
TCGA-B6-A40B-01	TCGA-B6-A40B-01	7.873	Primary Tumor	TCGA	Breast
TCGA-C8-A1HG-01	TCGA-C8-A1HG-01	7.872	Primary Tumor	TCGA	Breast
TCGA-Z7-A8R6-01	TCGA-Z7-A8R6-01	7.869	Primary Tumor	TCGA	Breast
TCGA-AC-A3TM-01	TCGA-AC-A3TM-01	7.864	Primary Tumor	TCGA	Breast
TCGA-A2-A1FX-01	TCGA-A2-A1FX-01	7.862	Primary Tumor	TCGA	Breast
TCGA-GM-A2DI-01	TCGA-GM-A2DI-01	7.854	Primary Tumor	TCGA	Breast
TCGA-AR-A1AJ-01	TCGA-AR-A1AJ-01	7.853	Primary Tumor	TCGA	Breast
TCGA-GM-A2D9-01	TCGA-GM-A2D9-01	7.853	Primary Tumor	TCGA	Breast
TCGA-C8-A135-01	TCGA-C8-A135-01	7.849	Primary Tumor	TCGA	Breast
GTEX-Y111-2026-SM-4SOJA	GTEX-Y111-2026-SM-4SOJA	7.845	Normal Tissue	GTEX	Breast
TCGA-D8-A1XA-01	TCGA-D8-A1XA-01	7.843	Primary Tumor	TCGA	Breast
TCGA-E9-A247-01	TCGA-E9-A247-01	7.843	Primary Tumor	TCGA	Breast
TCGA-A2-A04P-01	TCGA-A2-A04P-01	7.842	Primary Tumor	TCGA	Breast
TCGA-BH-AB28-01	TCGA-BH-AB28-01	7.842	Primary Tumor	TCGA	Breast
TCGA-OL-A6VQ-01	TCGA-OL-A6VQ-01	7.842	Primary Tumor	TCGA	Breast
TCGA-S3-AA17-01	TCGA-S3-AA17-01	7.842	Primary Tumor	TCGA	Breast
TCGA-C8-A273-01	TCGA-C8-A273-01	7.84	Primary Tumor	TCGA	Breast
TCGA-AO-A0J2-01	TCGA-AO-A0J2-01	7.838	Primary Tumor	TCGA	Breast
TCGA-AN-A0FW-01	TCGA-AN-A0FW-01	7.837	Primary Tumor	TCGA	Breast
TCGA-BH-A0BD-01	TCGA-BH-A0BD-01	7.834	Primary Tumor	TCGA	Breast
TCGA-BH-A0W4-01	TCGA-BH-A0W4-01	7.831	Primary Tumor	TCGA	Breast
TCGA-D8-A27P-01	TCGA-D8-A27P-01	7.83	Primary Tumor	TCGA	Breast
TCGA-BH-A18F-01	TCGA-BH-A18F-01	7.827	Primary Tumor	TCGA	Breast
TCGA-A8-A07E-01	TCGA-A8-A07E-01	7.823	Primary Tumor	TCGA	Breast
TCGA-E2-A15A-01	TCGA-E2-A15A-01	7.823	Primary Tumor	TCGA	Breast
TCGA-BH-A0H6-01	TCGA-BH-A0H6-01	7.822	Primary Tumor	TCGA	Breast
TCGA-B6-A401-01	TCGA-B6-A401-01	7.82	Primary Tumor	TCGA	Breast
TCGA-AN-A0XO-01	TCGA-AN-A0XO-01	7.815	Primary Tumor	TCGA	Breast
TCGA-EW-A1PA-01	TCGA-EW-A1PA-01	7.814	Primary Tumor	TCGA	Breast
TCGA-AC-A2BK-01	TCGA-AC-A2BK-01	7.811	Primary Tumor	TCGA	Breast
TCGA-B6-A0RU-01	TCGA-B6-A0RU-01	7.811	Primary Tumor	TCGA	Breast
TCGA-OL-A66L-01	TCGA-OL-A66L-01	7.811	Primary Tumor	TCGA	Breast
TCGA-A2-A0EM-01	TCGA-A2-A0EM-01	7.809	Primary Tumor	TCGA	Breast
TCGA-BH-A204-01	TCGA-BH-A204-01	7.808	Primary Tumor	TCGA	Breast
TCGA-AO-A129-01	TCGA-AO-A129-01	7.802	Primary Tumor	TCGA	Breast
TCGA-D8-A1XB-01	TCGA-D8-A1XB-01	7.801	Primary Tumor	TCGA	Breast
TCGA-BH-A18P-01	TCGA-BH-A18P-01	7.8	Primary Tumor	TCGA	Breast
