sample	samples	DFNA5 (average)
TCGA-28-1749-01	TCGA-28-1749-01	0.5311
TCGA-08-0389-01	TCGA-08-0389-01	0.5307
TCGA-06-0157-01	TCGA-06-0157-01	0.5303
TCGA-02-0016-01	TCGA-02-0016-01	0.5294
TCGA-27-1835-01	TCGA-27-1835-01	0.5294
TCGA-02-0324-01	TCGA-02-0324-01	0.5288
TCGA-02-0015-01	TCGA-02-0015-01	0.5249
TCGA-02-0102-01	TCGA-02-0102-01	0.5233
TCGA-12-0707-01	TCGA-12-0707-01	0.5227
TCGA-08-0375-01	TCGA-08-0375-01	0.5208
TCGA-41-2573-01	TCGA-41-2573-01	0.5199
TCGA-74-6581-01	TCGA-74-6581-01	0.519
TCGA-06-0211-01	TCGA-06-0211-01	0.51885
TCGA-06-0210-02	TCGA-06-0210-02	0.5184
TCGA-12-0691-01	TCGA-12-0691-01	0.5183
TCGA-06-0214-01	TCGA-06-0214-01	0.517
TCGA-14-1458-01	TCGA-14-1458-01	0.5163
TCGA-06-2563-01	TCGA-06-2563-01	0.5149
TCGA-06-0745-01	TCGA-06-0745-01	0.5141
TCGA-19-2631-01	TCGA-19-2631-01	0.5131
TCGA-19-1390-01	TCGA-19-1390-01	0.5128
TCGA-19-0962-01	TCGA-19-0962-01	0.5121
TCGA-06-5415-01	TCGA-06-5415-01	0.5115
TCGA-06-0188-01	TCGA-06-0188-01	0.5112
TCGA-12-1097-01	TCGA-12-1097-01	0.5112
TCGA-08-0349-01	TCGA-08-0349-01	0.511
TCGA-19-1786-01	TCGA-19-1786-01	0.5109
TCGA-27-2523-01	TCGA-27-2523-01	0.5109
TCGA-81-5911-01	TCGA-81-5911-01	0.5109
TCGA-02-0046-01	TCGA-02-0046-01	0.5086
TCGA-19-5950-01	TCGA-19-5950-01	0.5078
TCGA-02-0289-01	TCGA-02-0289-01	0.5068
TCGA-02-0269-01	TCGA-02-0269-01	0.503
TCGA-14-2554-01	TCGA-14-2554-01	0.5027
TCGA-12-0670-01	TCGA-12-0670-01	0.5017
TCGA-12-0820-01	TCGA-12-0820-01	0.5008
TCGA-08-0531-01	TCGA-08-0531-01	0.5001
TCGA-16-1056-01	TCGA-16-1056-01	0.5001
TCGA-02-0038-01	TCGA-02-0038-01	0.4994
TCGA-12-0619-01	TCGA-12-0619-01	0.4989
TCGA-19-5954-01	TCGA-19-5954-01	0.498
TCGA-12-0769-01	TCGA-12-0769-01	0.4976
TCGA-02-2466-01	TCGA-02-2466-01	0.4958
TCGA-06-5413-01	TCGA-06-5413-01	0.4958
TCGA-12-1094-01	TCGA-12-1094-01	0.4958
TCGA-12-0688-01	TCGA-12-0688-01	0.4955
TCGA-08-0353-01	TCGA-08-0353-01	0.4944
TCGA-16-1047-01	TCGA-16-1047-01	0.4942
TCGA-06-1801-01	TCGA-06-1801-01	0.4929
TCGA-06-A5U1-01	TCGA-06-A5U1-01	0.491
TCGA-12-0692-01	TCGA-12-0692-01	0.4906
TCGA-14-1827-01	TCGA-14-1827-01	0.4897
TCGA-02-2486-01	TCGA-02-2486-01	0.4893
TCGA-12-1099-01	TCGA-12-1099-01	0.4888
TCGA-06-0238-01	TCGA-06-0238-01	0.4863
TCGA-06-0145-01	TCGA-06-0145-01	0.4852
TCGA-12-0657-01	TCGA-12-0657-01	0.4847
TCGA-14-1823-01	TCGA-14-1823-01	0.4846
TCGA-76-6661-01	TCGA-76-6661-01	0.4836
TCGA-12-1599-01	TCGA-12-1599-01	0.4835
TCGA-08-0348-01	TCGA-08-0348-01	0.4817
TCGA-32-1979-01	TCGA-32-1979-01	0.4809
TCGA-12-0620-01	TCGA-12-0620-01	0.48030000000000006
TCGA-06-2562-01	TCGA-06-2562-01	0.4802
TCGA-14-1034-01	TCGA-14-1034-01	0.4795
TCGA-06-0750-01	TCGA-06-0750-01	0.4789
TCGA-08-0359-01	TCGA-08-0359-01	0.4785
TCGA-12-0772-01	TCGA-12-0772-01	0.478
TCGA-27-2519-01	TCGA-27-2519-01	0.4773
TCGA-76-4929-01	TCGA-76-4929-01	0.4755
TCGA-06-0126-01	TCGA-06-0126-01	0.47469999999999996
TCGA-06-0122-01	TCGA-06-0122-01	0.47355
TCGA-76-6280-01	TCGA-76-6280-01	0.4732
TCGA-06-1802-01	TCGA-06-1802-01	0.47280000000000005
TCGA-06-6390-01	TCGA-06-6390-01	0.4724
TCGA-76-6657-01	TCGA-76-6657-01	0.4721
TCGA-06-0182-01	TCGA-06-0182-01	0.4717
TCGA-06-2567-01	TCGA-06-2567-01	0.4715
TCGA-02-0290-01	TCGA-02-0290-01	0.4714
TCGA-06-0168-01	TCGA-06-0168-01	0.47075
TCGA-14-1829-01	TCGA-14-1829-01	0.4707
TCGA-06-0171-01	TCGA-06-0171-01	0.4701
TCGA-16-1062-01	TCGA-16-1062-01	0.47
TCGA-06-0175-01	TCGA-06-0175-01	0.4693
TCGA-06-0155-01	TCGA-06-0155-01	0.4688
TCGA-06-0878-01	TCGA-06-0878-01	0.4671
TCGA-02-0446-01	TCGA-02-0446-01	0.4652
TCGA-02-0451-01	TCGA-02-0451-01	0.465
TCGA-02-0330-01	TCGA-02-0330-01	0.4648
TCGA-14-0866-01	TCGA-14-0866-01	0.4646
TCGA-26-5139-01	TCGA-26-5139-01	0.4642
TCGA-02-0023-01	TCGA-02-0023-01	0.464
TCGA-08-0244-01	TCGA-08-0244-01	0.464
TCGA-06-0413-01	TCGA-06-0413-01	0.4634
TCGA-28-6450-01	TCGA-28-6450-01	0.4619
TCGA-02-0037-01	TCGA-02-0037-01	0.4618
TCGA-06-5856-01	TCGA-06-5856-01	0.4617
TCGA-28-5214-01	TCGA-28-5214-01	0.461
TCGA-14-1451-01	TCGA-14-1451-01	0.4605
TCGA-12-1601-01	TCGA-12-1601-01	0.4604
TCGA-26-5135-01	TCGA-26-5135-01	0.46
TCGA-06-0152-02	TCGA-06-0152-02	0.4599
TCGA-27-1830-01	TCGA-27-1830-01	0.4585
TCGA-12-3652-01	TCGA-12-3652-01	0.4573
TCGA-76-4926-01	TCGA-76-4926-01	0.457
TCGA-08-0386-01	TCGA-08-0386-01	0.45553350237717904
TCGA-28-2506-01	TCGA-28-2506-01	0.455
TCGA-12-1096-01	TCGA-12-1096-01	0.454
TCGA-14-1454-01	TCGA-14-1454-01	0.4538
TCGA-16-1048-01	TCGA-16-1048-01	0.4532
TCGA-02-0089-01	TCGA-02-0089-01	0.4517
TCGA-06-5411-01	TCGA-06-5411-01	0.4506
TCGA-32-2494-01	TCGA-32-2494-01	0.4505
TCGA-26-1439-01	TCGA-26-1439-01	0.4495
TCGA-06-2561-01	TCGA-06-2561-01	0.4489
TCGA-12-1095-01	TCGA-12-1095-01	0.4485
TCGA-12-0828-01	TCGA-12-0828-01	0.4483
TCGA-74-6578-01	TCGA-74-6578-01	0.4482
TCGA-06-6695-01	TCGA-06-6695-01	0.448
TCGA-28-5219-01	TCGA-28-5219-01	0.4477
TCGA-19-5947-01	TCGA-19-5947-01	0.4445
