sample	samples	DFNA5	_sample_type	_study	_primary_site
GTEX-12WSK-1926-SM-5LZVK	GTEX-12WSK-1926-SM-5LZVK	9.44	Normal Tissue	GTEX	Ovary
TCGA-13-1485-01	TCGA-13-1485-01	9.413	Primary Tumor	TCGA	Ovary
GTEX-WI4N-2526-SM-4OOSE	GTEX-WI4N-2526-SM-4OOSE	9.412	Normal Tissue	GTEX	Ovary
GTEX-P4QT-2426-SM-3NMCL	GTEX-P4QT-2426-SM-3NMCL	9.398	Normal Tissue	GTEX	Ovary
TCGA-25-1324-01	TCGA-25-1324-01	9.392	Primary Tumor	TCGA	Ovary
TCGA-30-1714-01	TCGA-30-1714-01	9.379	Primary Tumor	TCGA	Ovary
GTEX-QVJO-3126-SM-4R1KC	GTEX-QVJO-3126-SM-4R1KC	9.37	Normal Tissue	GTEX	Ovary
TCGA-61-2102-01	TCGA-61-2102-01	9.368	Primary Tumor	TCGA	Ovary
GTEX-S341-0726-SM-4AD5R	GTEX-S341-0726-SM-4AD5R	9.367	Normal Tissue	GTEX	Ovary
TCGA-25-2397-01	TCGA-25-2397-01	9.355	Primary Tumor	TCGA	Ovary
TCGA-23-1111-01	TCGA-23-1111-01	9.346	Primary Tumor	TCGA	Ovary
TCGA-04-1648-01	TCGA-04-1648-01	9.344	Primary Tumor	TCGA	Ovary
GTEX-X8HC-2726-SM-46MUA	GTEX-X8HC-2726-SM-46MUA	9.323	Normal Tissue	GTEX	Ovary
GTEX-OHPK-2426-SM-3MJGH	GTEX-OHPK-2426-SM-3MJGH	9.276	Normal Tissue	GTEX	Ovary
TCGA-04-1337-01	TCGA-04-1337-01	9.269	Primary Tumor	TCGA	Ovary
GTEX-ZZPU-2126-SM-5EGIU	GTEX-ZZPU-2126-SM-5EGIU	9.261	Normal Tissue	GTEX	Ovary
TCGA-61-2012-01	TCGA-61-2012-01	9.246	Primary Tumor	TCGA	Ovary
TCGA-24-1418-01	TCGA-24-1418-01	9.244	Primary Tumor	TCGA	Ovary
TCGA-13-1482-01	TCGA-13-1482-01	9.242	Primary Tumor	TCGA	Ovary
GTEX-ZLWG-0926-SM-4WWC3	GTEX-ZLWG-0926-SM-4WWC3	9.234	Normal Tissue	GTEX	Ovary
TCGA-24-1564-01	TCGA-24-1564-01	9.226	Primary Tumor	TCGA	Ovary
TCGA-59-2348-01	TCGA-59-2348-01	9.225	Primary Tumor	TCGA	Ovary
TCGA-36-1580-01	TCGA-36-1580-01	9.219	Primary Tumor	TCGA	Ovary
TCGA-31-1953-01	TCGA-31-1953-01	9.21	Primary Tumor	TCGA	Ovary
TCGA-24-2293-01	TCGA-24-2293-01	9.207	Primary Tumor	TCGA	Ovary
TCGA-24-1424-01	TCGA-24-1424-01	9.195	Primary Tumor	TCGA	Ovary
TCGA-09-2048-01	TCGA-09-2048-01	9.166	Primary Tumor	TCGA	Ovary
TCGA-29-1763-01	TCGA-29-1763-01	9.163	Primary Tumor	TCGA	Ovary
